직무ID,직무,회사,주요업무,자격요건,우대사항,혜택 및 복지,채용보상금
257326,서비스 기획자,유니메오,"['좋은케어 WEB/APP 서비스 운영 및 관리', '신규 및 기존 서비스 개선을 위한 서비스 구축 및 기획', '(스토리보드 작성, UI/UX 설계 등 프로젝트에 필요한 모든 서비스 기획 부분)', '고객 니즈 및 협업 부서의 요구사항을 분석하여 기획에 반영', '(고객 행동 분석, 기타 데이터 분석 기반)']","['유관 부서(개발,영업 등)와 협업 경험이 있는 분', '논리적인 사고를 기반으로 문제해결이 가능하신 분', '서비스 및 사업 기획, 런칭, 운영, 개선 사이클 전반에 대한 경험을 보유하신 분', '백오피스(어드민) / App 서비스 기획 및 QA 진행 경험', '※ 포트폴리오 제출 필수 ※']","['사업기획 업무 경력있는 분(사업 계획서, IR Deck 등 제안서 작성 경험)', '시니어 헬스케어 업계에 대한 지식 보유 및 업무 경험자', '와이어 프레임 툴(Figma 등) 사용 가능하신 분']","['자율출퇴근제(08:30~10:00 자율 출근)', '자유로운 연차 사용', '창립기념일 휴일', '명절선물', '장기 근속 제도', '생일반차(평일)', '경조사 지원', '간식 및 커피 제공']",100만원
256916,SQA (SW Quality Assurance) 리드 엔지니어,보스반도체,"['차량용 반도체 SW 검증 팀 빌드업 및 리딩', '프로젝트 범위 또는 납기일에 따라 테스트 일정 또는 테스트 전략 수립', '프로젝트 마일스톤 별 SW 품질 또는 릴리즈 결정을 위한 표준, 방법, Criteria 또는 절차 확보', 'SW 개발 요구사항, 제품 Spec을 기준의 SW validation을 통한 SW 개발 Coverage 검토', '반도체 SW 시험 계획 수립 및 시나리오, 스크립트 또는 시험 절차 설계', '버그 추적 시스템을 활용하여 SW Defect을 문서화하고, 소프트웨어 개발자와 결함 내용 공유', '시나리오 기반 system testing, compatibility testing, regression testing, negative testing, error 또는 버그 재테스트 등을 위한 Test case 설계, Test program 개발/확장, 및 수행', '테스트 실행 자동화를 위한 테스트 자동화 스크립트 개발 및 유지 보수', '제품 설계 검토 및 Review 미팅에 참여하여 기능 요구 사항, 제품 설계, 일정 또는 잠재적 문제에 대한 의견 제공', '표준 준수 및 재현 가능성을 보장하기 위한 테스트 절차 문서화', '해외 R&D 센터/파트너/고객과 검증 협력 및 품질 가이드']","['경력요건 (Career Requirement)', '5년 이상 임베디드 시스템 또는 반도체 SW 검증 및 파트 또는 팀 리딩 경험', '', '자격요건 (Basic Requirement)', 'Build system (Buildroot, Yocto 등) 활용을 통한 테스트 바이너리 빌드 경험', '임베디드 시스템 SW 동작에 대한 이해 및 임베디드 SW 빌드 환경 셋업 경험', '반도체 System SW 구조에 대한 이해 (Bootloader, Kernel, 사용자 service app)', 'Linux Kernel (or RTOS) 및 디바이스 드라이버에 대한 구조 및 동작의 이해', '이슈 관리 시스템 (JIRA, Redmine 등) 활용을 통한 이슈 등록 및 개발자와 소통', '형상 관리 서버 (gitlab 등) 활용 경험 및 Testing framework 활용 경험 (Robot framework, GoogleTest 등)', 'SW engineering process 기반 개발 및 검증 경험/이해 (ASPICE, CMM, 기능안전 프로세스 등)', 'CI/CD 개발 환경 기반 SW 검증 및 Patch integration 및 build 경험', 'Git, Github, Gerrit 및 이슈 관리 시스템 JIRA 활용 경험']","['세계최고 SOC 설계 / 검증 및 S/W 전문가와 함께 일하며 본인의 기술 역량을 높일 수 있는 기회', '', '유연한 출퇴근 시간', '능력별 Stock Option 부여', '조식, 중식, 석식 제공', '간식 / 커피 무제한 제공', '최적의개발환경제공(듀얼 모니터/HPC서버)', '허리건강을위한모션데스크지원', 'On-site 외국어 학습지원', '기술도서 구매지원']",[],100만원
257525,Software PM (Link PM),메디트(Medit),"['경쟁사 제품 분석 및 사용자 피드백 분석', '제품 개선을 위한 트랜드 조사 및 분석', '요구 분석, 정책 설계, 기능 정의, Wireframe 기획 업무', '제품 기획에 따른 개발 일정 및 출시 일정 관리', '단계별 완료된 제품의 지속적인 테스트 및 피드백']","['클라우드 플랫폼 서비스 유료화 관련 기획, 관리 경험이 있으신 분', '클라우드 기반 플랫폼 어플리케이션 기획 경험이 있으신 분', 'Web 서비스 기획 경험이 있으신 분', '제품 출시 전반에 걸친 프로젝트 관리 경험이 있으신 분', '개발, 디자인, QA에 대한 전반적인 이해와 업무 경험을 가지신 분', '경력 5년 이상']","['Mobile app 서비스 기획 경험이 있으신 분', 'Jira/Confluence 사용 경험이 있으신 분', '영어 회화 능력', '해외 출장에 결격사유가 없는 분']","['[복지]', '유연근무제', '수평적인 호칭 체계', '최고 사양의 업무 장비/소프트웨어', '웰컴키트 제공', '캐쥬얼 복장', '3년, 5년, 7년, 10년 이후 매 5년 근속 축하 복지포인트 및 휴가 제공', '복지포인트 (분기별, 명절, 생일)', '생일 반차 제공', '다양한 경조사에 대한 지원', '종합 건강 검진', '임직원 상해 보험 가입', '심리상담(EAP) 지원', '근무지에 따라 제공되는 베네핏은 상이할 수 있습니다.', '', '[근무지]', '선유도 사옥 (서울특별시 영등포구 양평로25길 8)', '', '해당 포지션은 상시 채용 중으로 모집 완료 시 포지션이 마감될 수 있습니다.', '제출해 주신 내용 중 허위 사실이 있을 경우 채용이 취소될 수 있습니다.']",100만원
250922,QA 엔지니어 (3년 이상),마카롱팩토리,"['마이클 앱 서비스 테스트 계획 및 실행', '테스트 케이스 작성 및 실행', '버그리포트, 분석, 재현을 위한 기획/개발/디자인 협업', '서비스 개발 과정 참여 / 요구사항 분석 / 테스트 계획 수립', '효율적인 테스트를 위한 프로세스 개선']","['Android / iOS App QA 관련 3년 이상의 경험이 있는 분', 'Native APP/WEB/Mobile Web 테스트 경험이 있는 분', '기획/디자인 결과물로 테스트 케이스 작성 경험이 있는 분']","['빠른 주기의 앱/웹 배포 경험이 있는 분', '다양한 테스트 도구 활용 경험이 있는 분', 'Selenium, Appium, Postman, Charles 활용 경험이 있는 분', 'QA 업무에 대해 긍정적이고 책임감을 가지고 계신 분', 'API 개념 이해 및 검증이 가능한 분', '테스트 자동화 도구 경험이 있는 분', '테스트 관련 자격증 소지한 분', '스타트업 업무 경험이 있는 분']","['전직군 맥북 지급', '디자인팀 아이맥 지급', '개발팀 대형 모니터 지급', '유연 근무제', '점심 식대', '스낵 및 음료 무제한 지원', '최신 커피머신 구비', '최고급 커피원두 무제한 지급', '(불가피한) 야근 시 식비 및 교통비 지원', '도서 구입비 지원', '자기계발비 지원', '주차비 지원', '명절 상여금 지급', '생일 선물', '입사 N주년 선물', '1년이상 재직자 종합건강검진 지원', '승인없는 연차/반차', '3/6/9년 리프레시 휴가 및 휴가 지원금', '마이클 앱 서비스 (타이어, 엔진오일, 외장수리)', '육아 보조비 지원', '경조비 지원 (결혼, 출산 등)', '경조사 화환 배송', '팀 빌딩 런치 지원', '팀커피챗 비용 지원', '온보딩 프로그램 운영 (웰컴런치, 버디 프로그램)', '워크샵, 송년회, 창립기념일 등 사내 행사', '내부 추천 채용 보상금 제도', '', '마카롱팩토리의 복리후생은 계속해서 발전 중입니다!']",100만원
257379,게임 QA 담당자,111퍼센트,"['품질 관리 및 유지 보수 업무 수행', '산출물 관리 및 품질 검증 계획 수립', '기능 / 비기능 테스트 및 이슈 트래킹 및 리포팅', '유관부서와 협업 및 커뮤니케이션', '결함 관리 및 트래킹']","['게임 개발 프로세스에 대한 기본 이해도가 있는 분', '테스트 설계 기법에 대한 이해와 효율적인 Test Case, Check List 작성과 수행에 능숙하신 분', '데이터 검증 경험이 있는 분']","['1년 이상 3년 이하 게임 QA 업무 경험이 있으신 분', '111퍼센트 게임 서비스 혹은 캐주얼 장르에 대한 높은 이해도를 갖추신 분', '개발 단계부터 라이브 서비스 유지 보수 단계까지 경험을 보유하고 계신 분', '새로운 도전을 좋아하고 책임/열정/주도적인 것을 선호하시는 분', '자신의 생각을 논리적으로 정리하여 전달할 수 있는 분', '', '[필수 제출]', '111퍼센트에서 서비스 중인 게임에 대한 포트폴리오 (기밀 또는 저작권 등 법적 문제가 없어야 합니다.)']","['전사 겨울 방학(매년 크리스마스~신정)', '점심 식대 최대 12,000원 지원', '야근 식대 최대 20,000원 지원', '사내 카페테리아 운영', '사내 스낵바 운영', ""격년 주기로 '구성원 + 가족1인' 종합건강검진 지원(인당 25만원 상당)"", '생일/명절 상품권(or 선물) 제공', '야근 택시비 지원', '안마의자 운영', '닉네임을 사용하는 수평 문화']",100만원
193881,B2B 탄소회계 SaaS QA Manager,엔츠,"['- 기업을 위한 탄소중립 관리 플랫폼, 엔스코프의 품질을 책임지고 관리하게 됩니다.', '- 기획/개발팀과 협업하여 엔츠의 QA 문화를 정립해나가게 됩니다.', '- TC를 작성한 뒤 TC 기반의 QA를 주도하게 됩니다.', '- 결함 리포트를 작성하고 리스크를 관리합니다.']","['- 기업의 탄소를 측정하고 감소시킨다는 엔츠의 미션에 공감하고, 소프트웨어 QA 관련 지식을 갖고계신 분', '- 1년 이상 혹은 이에 준하는 웹서비스 QA 실무 경력을 갖고계신 분', '- Jira, Confluence, GitHub 등 협업관리툴을 활용할 수 있으신 분', '- 유관 부서의 동료들과 원활히 소통하는 법을 아시는 분']","['- ISTQB F/L, CSTS 등 QA 관련 자격증을 보유하신 분', '- API Tool을 사용한 경험이 있으신 분', '- 애자일한 개발 프로세스에서의 QA를 경험해보신 분', '- 무엇보다 성장하는 스타트업에서 함께 성장하며 탄소중립 문제를 푸는 데에 기여하고 싶으신 분을 찾습니다!']","['＜업무에 집중할 수 있는 최적의 근무환경을 제공합니다＞', '- 정규직 채용 시 예산 한도 내에서 원하는 사양의 맥북 또는 Windows 노트북과 업무용 장비 제공', '- 자유로운 출퇴근 시간 (11시~4시 코어타임 근무)', '- 업무와 관련된 도서 구매 지원', '', '＜엔츠인들의 건강하고 즐거운 직장생활을 지원합니다＞', '- 휴식도 중요하니까, 매월 마지막 주 금요일 조기 퇴근 (오후 3시 퇴근)', '- 점심, 저녁 식대 전액 지원', '- 간식 무제한 제공, 고급 원두커피 제공(그라인더도 있어요!)', '- 20만 원 상당 건강검진 지원']",100만원
243841,QA 엔지니어 (6년 이상),팩트블록(FactBlock),"['APP / Web 서비스의 품질 관리 및 테스트 계획 수립', 'Test Scenario / Test Case 작성', '서비스의 성능 및 안정성 테스트를 통해 품질 향상 도모', 'QA기반으로 품질 개선점 도출 및 제안', '개발 팀, 디자이너 팀과 협업하여 기능 및 서비스의 품질 보장']","['모바일 및 웹 애플리케이션 QA 경력 6년 이상', 'QA 프로세스 및 소프트웨어 개발주기에 대한 깊은 이해', '테스트 자동화 도구 활용 경험 (Selenium, Appium, Cypress, JUnit, Postman, Testrail 등)']","['SQL, Python, Java 등의 프로그래밍 언어 활용 가능', 'ISTQB 자격증', 'Web3.0 기술 및 관련 서비스에 대한 이해', '비지니스 영어 or 일본어, 중국어 (Verbal/Written)']","['ㆍ유연한 출근시간 (8-10)', 'ㆍ여유로운 점심시간 1시간 30분 제공', 'ㆍ커피 및 간식 제공', 'ㆍ아시아 최대 규모의 웹3.0 행사인 Korea Blockchain Week 초대권 제공', 'ㆍPC, Mac 등의 테스트 기기 지급', 'ㆍ34인치 와이드 모니터 지급']",100만원
248721,대기업 글로벌 APP 운영 - 퍼블리셔 및 QA (Publish/QA),펑타이그레이터차이나(피티코리아),"['글로벌 어플리케이션 운영 관련 업무', 'CMS를 통한 글로벌 어플리케이션의 컨텐츠 신규 등록/수정/삭제 등의 운영 관리', '모바일 어플리케이션을 통한 컨텐츠 QA', '퍼블리싱 현황 및 QA 현황 정리 및 리포트 등의 보고 자료 작성 등']","['학사 이상이신 분', 'ppt, Excel 등 MS Office 사용 가능하신 분', '영어 커뮤니케이션이(written) 가능하신 분', '경력 2년 이상이신 분', '성실하고 책임감 있는 성격과, 원활한 협업 능력을 가지신 분']","['영어 커뮤니케이션(Speaking) 이 원활하신 분', 'Jira 를 통한 Communication 경험이 있으신 분', '글로벌 어플리케이션 운영 프로젝트를 경험하신 분']","['혜택 및 복지', '복지 포인트 연간 기준 70만원 지급', '통신비, 체력단련비 매월 일정액 지원', '유동적 변동 성과급 지급', '임직원 전용 식당 운영 (식대 보조)', '임직원 전용 진료실 지원', '임직원 건강검진 지원, 단체상해보험 가입', '각종 경조사 지원', '어학, 직무관련 교육비&시험비 실비 지원', '유연근로시간제 운영', '자율적 업무환경 및 복장', '', '근무조건', '근무위치 : 서울시 강남구 강남대로 372 FINE TOWER - 신분당선 강남역에서 200m 이내', '근무시간 : 선택적근로시간제(코어타임)', '근무형태 : 정규직 (수습기간 3개월)', '', '접수방법 및 기간', '접수기간 : 상시', '서류 합격 여부 통보 : 지원서 순차적 확인 후 개별 통보', '', '국가보훈대상자 및 장애인은 관련 법규에 의거 우대함.']",100만원
243334,UI 디자이너 (4년 이상),식스티헤르츠,"['ㆍ에너지산업 자사 프로덕트 또는 연구 과제 디자인 (Web 기반)', 'ㆍ여러 업무관계자와 협업하며 주도적으로 디자인 프로젝트를 운영하고 관리', 'ㆍ디자인 퀄리티에 대한 책임을 가지고 방향성 제시', 'ㆍUI 디자인 리소스 제작 및 관리', 'ㆍ기타 사내 디자인 업무']","['ㆍ4년 이상의 UI 디자인 경력을 보유하신 분', 'ㆍ복잡한 정보를 시각적으로 명료하고 아름답게 표현할 수 있는 분', 'ㆍ실제 서비스에 적용된 디자인 경험을 보유하신 분 (디자인 QA 경험 필수)', 'ㆍUI 디자인 툴(Figma, framer 등)에 대한 완벽한 전문가', '포트폴리오 (PDF) 제출 필수', '(1차 직무 인터뷰 시 포트폴리오 내 1개 프로젝트 리뷰 예정)']","['ㆍ비즈니스 목표와 사용자 경험을 균형있게 고려하여 최적의 디자인 솔루션을 제시할 수 있는 분', 'ㆍ최신 트렌드에 대한 높은 관심과 빠른 학습 능력을 갖추신 분', 'ㆍ개발자와 원활한 협업을 위한 기초적인 Web 지식이 있는 분 (HTML, CSS, React 등)', 'ㆍ에너지 산업 분야 또는 스타트업 근무 경험', '주요 협업툴 : Slack, Figma, Confluence, Adobe 사용 경험']","['[자유롭고 쾌적한 근무 환경]', '오전 8~11시 자율 출근제 시행', '온전한 몰입을 지원하기 위해 각자의 리듬에 맞는 자율 출근제를 시행합니다. 가장 많은 팀원이 출근하는 시간대는 10시~11시예요!', '쾌적한 Office 시설', '헤이그라운드 서울숲점, 전 좌석 모션 데스크 설치', '점심 식대 or 식사 지원, 간식 지원', '비플페이로 월 20만 원=연 240만 원 상당의 점심 식대를 지원해요.', '', '[스트레스 없는 조직 문화]', '최고의 복지는 좋은 동료', '라인, 카카오, 삼성 등 대기업부터 대규모 스타트업 출신 팀원까지, 다양한 인재풀 출신의 동료와 서로 배우며 성장하고 있어요.', ""리더, 대표 포함 모두 '~님' 호칭 사용"", '수평적인 조직 문화를 지향해요.', '자유로운 연차 사용(반반차 사용도 가능/생일 반차, 건강검진 반차 제도)', '눈치보는 연차는 NO! 모든 연차는 사유없이 원하는 때 사용합니다.', '애자일 조직', '스쿼드, 챕터 등 빠르고 자율적인 협업 환경을 운영해요.', '', '[개인의 성장 지원]', '업무 관련 도서비 지원']",100만원
255820,[커머스프로덕션] Jr. QA 엔지니어,미리디,"['QA들로 구성된 챕터에 소속되고 특정 프로덕트를 담당하는 스쿼드에도 소속될 수 있어요.', '스쿼드는 다양한 챕터(PM, 엔지니어, QA, 데이터, 프로덕트디자이너, 컨텐츠매니저 등)로 구성되며 담당 프로덕트에 오너십을 갖고 좀 더 집중할 수 있어요.', '테스트케이스 작성&수행과 매주 발생 하는 정기배포 이슈에 대해서 개선 사항을 도출 해요 .', '매주 업데이트되는 수십 가지 피처들의 기능과 히스토리를 빠르게 파악해야하고 이를 위해 매우 다양한 사람들과 원활하게 소통할 수 있어야 해요.', '집중하는 프로덕트 외에도 다양한 운영 이슈들을 대응할 수 있어요.', '업무 효율을 위해 자주 발생하는 테스트케이스는 playwright 를 통해 자동화할 수 있어요.', '자동화 코드는 GitHub을 활용하여 풀 리퀘스트를 생성하고 관리 해요.', '매주 발생 하는 프론트 정기배포버전에 대해서 관리하고 릴리즈 해요.']","['플랫폼 별 환경을 고려한 테스트케이스 도출, 테스트 계획 수립 및 수행 경험이 있으신 분', '각종 협업 도구 Slack, Confluence, Jira, Redmine 등 버그트래킹 툴에 능숙하신 분', '소프트웨어 테스트 및 QA 에 대한 기본 지식 및 프로세스 지식이 있으신 분', '성실하고 꼼꼼한 업무 처리 능력을 보유 하신 분', '간결하고 명확한 커뮤니케이션이 가능하신 분', '테스팅에 대한 열정과 에너지를 갖고 계신 분', '소프트웨어 개발 라이프 사이클에 걸친 품질 관리 경험이 있으신 분', '1년 계약 근무 가능하신 분']","['웹 서비스 QA 경력 1년 이상 ~ 3년 이하', 'playwright 를 통해 e2e test 를 작성해보신 분', '테스트 자동화 실무 경험이 있으신 분', 'ISTQB, CSTS 등 테스팅 관련 자격증 보유자', 'API 혹은 SQL을 이용하여 QA가 가능하신 분', 'Checkly를 이용한 E2E 테스트 및 백엔드 API 테스트 경험이 있으신 분', '클라우드 환경에서 지속적인 테스트 수행 및 문제 보고 경험이 있으신 분']","['"" 미리디는 복지를 통해 나눔의 경영을 실현하고 있습니다 ""', '', '[ 자율과 책임의 근무환경을 제공합니다 ]', '자율적 출퇴근 제도 - 유연근무(1~3시간)', '원격 근무 제도 (주1~2회)', '자유로운 휴가 사용', '경조사 휴가 지원', '', '[ 배움과 성장, 행복을 지원합니다 ]', '업무 관련 비용 100% 지원', '업무 도서, 온라인 강의 등 스터디 비용 지원', '직원의 행복을 위한 행복개발비 지원', '경조사비 지원', '외부 교육, 기술 세미나 등을 적극 활용하여 성장을 돕습니다.', '', '[ 열일하는 미리인 굶길 수 없다! 삼시세끼 지원 ]', '아침 도시락/ 점심 포인트 지원', '저녁 식사비 지원 (개인 스터디 또는 업무로 늦게 퇴근할 경우)', '제휴 카페 포인트 지원', '', '[ 미리인의 회사 적응과 단합을 지원합니다 ]', '직급 없이 수평적인 문화 지향', '3년 근속 시 리프레시 휴가', '명절 상품권 지급 (설, 추석)', '상시 이벤트 및 행사 지원']",100만원
255257,대기업 교육 콘텐츠 기획/ 제작,펑타이그레이터차이나(피티코리아),"['대기업 내부 교육 콘텐츠 기획 및 제작', '광고주 리포팅 및 일정관리', '내외부 협업부서 간 커뮤니케이션', '산출물 관리와 QA, 트렌드 써치, 리포트 작성']","['학사 이상이신 분 (대학교 4년제 이상 졸업)', 'MS Office 툴/ 포토샵 등 활용이 가능하신 분', '비즈니스 영어 중,상급 이상의 능력을 갖추신 분', '컨텐츠 제작 및 전략도출 능력을 갖추신 분', '마케팅 분야 경력이 2~5년이신 분', '적극적인 커뮤니케이션 스킬 & 꼼꼼한 성격을 지니신 분']","['업무에 대한 책임감과 조직 내 적응력이 있으신 분', '팀원과 적극적인 관계 형성과 긍정적 마인드셋을 보유하신 분', '디자인과 카피라이팅에 대한 안목이 있으신 분']","['혜택 및 복지', '복지 포인트 연간 기준 70만원 지급', '통신비, 체력단련비 매월 일정액 지원', '유동적 변동 성과급 지급', '임직원 전용 식당 운영 (식대 보조)', '임직원 전용 진료실 지원', '임직원 건강검진 지원, 단체상해보험 가입', '각종 경조사 지원', '어학, 직무관련 교육비&시험비 실비 지원', '유연근로시간제 운영', '자율적 업무환경 및 복장', '', '근무조건', '근무위치 : 서울시 강남구 강남대로 372 FINE TOWER - 신분당선 강남역에서 200m 이내', '근무시간 : 선택적근로시간제(코어타임)', '근무형태 : 정규직 (수습기간 3개월)', '', '접수방법 및 기간', '접수기간 : 상시', '서류 합격 여부 통보 : 지원서 순차적 확인 후 개별 통보', '', '국가보훈대상자 및 장애인은 관련 법규에 의거 우대함.']",100만원
162493,글로벌 광고플랫폼 테스트엔지니어 (분당서현역),이노아이,"['우리 팀에서 함께 할 업무에요', '광고플랫폼 정산운영 QA', '최상의 서비스를 안정적으로 제공할 수 있는 System과 Product 품질 관리', '일정별 Test 진행, 결함 관리, 보고서 작성, 이슈 미팅 참여', '기획서를 바탕으로 한 TC 설계 및 Test 실현, 품질 관리 프로세스 개선 제안', '다양한 디바이스 및 환경에서 테스트 수행 및 기능오류의 발견']","['이런 분을 찾고 있어요', '다양한 서비스 및 플랫폼 테스트 경험이 있는 분(Mobile, Web, App)', '테스트 도구 활용 경험이 있는 분', '기본적인 데이터베이스 및 네트워크 이해', '테스트 계획 및 보고서 작성 능력', 'QA 분야 3 ~ 6년의 경력 보유']","['이런 분이면 더 좋아요', '동일 프로젝트 2년 이상 수행 경험 보유', '모바일 서비스 분야 경험 보유', 'API 테스트 또는 자동화 테스트 경험 1년 이상 보유', '다양한 유관 부서와의 협업 경험 보유', '비즈니스 프로세스 분석 경험 보유', '테스트 관련 자격증 소지', '컴퓨터 등 it 인접 전공 보유', '능동적인 업무역량과 마인드 보유', '', '이런 분은 적응하기 어려워요', '게임 또는 HW 분야와 관련한 QA 경력만 보유']","['함께하면 받는 혜택 및 복지', '연봉 등 보상제도 보유: 인센티브, 포상, 퇴직연금 등', '임직원 학자금 등 자기계발 지원 및 교육 기회', '워크샵/ 사내 행사/ 휴가 선용 지원']",100만원
255260,글로벌 웹사이트 운영 및 기획 / AE,펑타이그레이터차이나(피티코리아),"['웹사이트 운영 및 콘텐츠 제작', '웹사이트 현황 분석 및 개선 안 제안', '업무 프로세스 관리, UI/UX 개선, QA, 배포']","['학사 이상이신 분', 'MS 오피스 활용, 업무관리 툴 활용 (JIRA, Confluence, Figma)이 가능하신 분', '제안서 및 기획 문서 작성, 영어 커뮤니케이션 (해외 협력사, 고객사 해외 법인 협업)이 가능하신 분', '경력이 2년 이상이신 분']","['글로벌 협업 및 커뮤니케이션 진행 경험이 있으신 분', '웹사이트 제작, 운영 경험이 있으신 분', 'IT 개발 환경 이해도를 보유하신 분']","['혜택 및 복지', '복지 포인트 연간 기준 70만원 지급', '통신비, 체력단련비 매월 일정액 지원', '유동적 변동 성과급 지급', '임직원 전용 식당 운영 (식대 보조)', '임직원 전용 진료실 지원', '임직원 건강검진 지원, 단체상해보험 가입', '각종 경조사 지원', '어학, 직무관련 교육비&시험비 실비 지원', '유연근로시간제 운영', '자율적 업무환경 및 복장', '', '근무조건', '근무위치 : 서울시 강남구 강남대로 372 FINE TOWER - 신분당선 강남역에서 200m 이내', '근무시간 : 선택적근로시간제(코어타임)', '근무형태 : 정규직 (수습기간 3개월)', '', '접수방법 및 기간', '접수기간 : 상시', '서류 합격 여부 통보 : 지원서 순차적 확인 후 개별 통보', '', '국가보훈대상자 및 장애인은 관련 법규에 의거 우대함.']",100만원
257382,게임 QA 담당자 Specialist,111퍼센트,"['개발 및 라이브 프로젝트의 품질 관리 및 유지 보수 업무 수행', '산출물 관리 및 품질 검증 계획 수립', '유관부서와 협업 및 커뮤니케이션', '결함 관리, 트래킹, 팔로업', '품질 지표 관리 (리스크 분석)']","['Development QA, Publishing QA, Function/Non-functional QA, Maintenance QA 경험이 있으신 분', 'Mobile Platform 환경에 대한 이해도가 높은 분', 'Client-based Game, Server-based Game 개발 프로세스에 대한 기본 이해도가 있는 분', '다양한 개발 도구 및 테스팅 지원 도구 활용 경험이 있는 분 (Performance Testing Tools, Static Analysis Tools, Open-source Testing Tools 등)', 'Unity Editor 환경에서 Unit, Component Testing 경험이 있는 분', '다중 프로젝트 동시 착수, 설계, 진행 경험이 있는 분', '프로젝트 리딩 경험을 보유하고 계신 분', '테스트 설계 기법에 대한 이해와 효율적인 Test Case, Check List 작성과 수행에 능숙하신 분']","['7년 이상 게임 QA 업무 경험이 있으신 분', '111퍼센트 게임 서비스 혹은 캐주얼 장르에 대한 높은 이해도를 갖추신 분', '개발 단계부터 라이브 서비스 유지 보수 단계까지 경험을 보유하고 계신 분', '', '[필수 제출]', '111퍼센트에서 서비스 중인 게임에 대한 포트폴리오 (기밀 또는 저작권 등 법적 문제가 없어야 합니다.)']","['전사 겨울 방학(매년 크리스마스~신정)', '점심 식대 최대 12,000원 지원', '야근 식대 최대 20,000원 지원', '사내 카페테리아 운영', '사내 스낵바 운영', ""격년 주기로 '구성원 + 가족1인' 종합건강검진 지원(인당 25만원 상당)"", '생일/명절 상품권(or 선물) 제공', '야근 택시비 지원', '안마의자 운영', '닉네임을 사용하는 수평 문화']",100만원
199836,글로벌 마케팅 데이터 분석가,아티언스,"['마케팅 데이터 허브 구축을 위한 데이터 컨설팅', '데이터 적재 QA 및 QA 대시보드 기획', '고객사 커뮤니케이션']","['광고 운영 경험 2년 이상 보유자(Google, Meta)', 'SQL등 쿼리문 활용 데이터 추출 및 분석 가능 하신분""']","['대기업 프로젝트 경험', '로컬 법인 커뮤니케이션 가능하신 분(비즈니스 영어)', 'GMP, Adobe, AppsFlyer 등 광고/마케팅 툴 운영 경험', '책임감과 꼼꼼함을 겸비하신 분']","['【디지털 마케팅의 Only One 전문가, 아티언서에게 보답하고 싶습니다.】', '', '아티언서 WORK', '한강뷰, 스몰토크, 회의실, 포커스룸 등 다양한 업무 환경', '2호선, 6호선 합정역 9번 출구 (도보 30초), 지하 연결 통로로 눈/비 올 때 쾌적하게 출퇴근', '재택근무 시행(주 1회)', '시간 외 근로 수당 지급 (연장/야간/휴일근무 시)', '야근 시 저녁 식대 및 택시비 지원', '', '아티언서 GROWTH', '신규 입사자 교육', '연간 100만원의 자기개발/문화생활비 지원', '인원 선정 과정을 통해 매년 사내/외 및 국내/외 교육 진행', '사내 지식공유플랫폼(Agi-T(아지트)) 운영', '사내 스터디 모임 지원', '부서 별 워크샵 진행', '전자 도서(e-book) 지원', '직무 관련 사내 도서 구매 지원 및 사내 도서관 운영', '', '아티언서 ENJOY', '신규 입사자 웰컴 키트 제공', '조식 Day 매주 수요일 건강한 조식 제공', 'Random Lunch 매월 첫째 주 수요일 부서 별 점심 식사비 지원', 'Funch Day 매월 말(급여일) 점심시간 2시간', 'Family Day 매월 둘째 주 금요일 1시간 조기퇴근', 'Activity Day 팀원들과 즐거운 문화 생활 지원', '밴드, 보드게임 등 사내 동호회 지원', '생일자 조기 퇴근, 생일 축하금, 생일 파티금 지원', '소노 호텔&리조트 회원 혜택 : 삼척, 양양, 제주 등 전국 16개', '', '아티언서 SURPORT', '장기 근속자 Refresh 휴가 및 휴가비 지원', '연 1회 전문 기관 유료 건강검진 및 건강검진 특별휴가 지원', '각종 경조사 휴가 및 비용 지원', '인재 추천 보상 제도 (외부 인재 추천 후, 입사 시 포상금 제공)', '', '[아티언스 뉴스 기사]', '2022년 아시아 태평양 지역 고성장 기업 선정', 'https://www.sedaily.com/NewsView/26664ZMMFZ', 'https://www.fnnews.com/news/202205311006053749', '', '글로벌 마케팅 기업 아티언스, 해외교류 확대', 'https://www.news1.kr/articles/4784359']",100만원
